,continent,Indicator Name,Value,Year,Country Name
419,Europe,homeres,10.590394996924704,2019,Hungary
420,Asia,homeres,8.697654093580372,2019,Iran
421,Europe,homeres,11.085863890101429,2019,Ireland
422,Europe,homeres,9.778170256880857,2019,Italy
423,Asia,homeres,10.256797343826895,2019,Japan
424,Asia,homeres,9.797306047489334,2019,Kazakhstan
425,Asia,homeres,11.856054915849333,2019,Korea
426,Europe,homeres,9.129842653680909,2019,Kosovo
427,Asia,homeres,9.821736349669308,2019,Kuwait
428,Europe,homeres,10.616344269292435,2019,Latvia
429,Europe,homeres,10.358911134391555,2019,Lithuania
430,Europe,homeres,10.811988564883519,2019,Malta
431,Europe,homeres,9.956019276345927,2019,Montenegro
432,Other,homeres,6.899377714564752,2019,Morocco
433,Asia,homeres,9.378532419106444,2019,Oman
434,Europe,homeres,,2019,Netherlands
435,Other,homeres,11.36260937314931,2019,New Zealand
436,Europe,homeres,11.509890447913191,2019,Norway
437,Asia,homeres,7.961692757298498,2019,Pakistan
438,Asia,homeres,8.07702805167572,2019,Philippines
439,Europe,homeres,10.6038723262192,2019,Poland
440,Europe,homeres,10.22147849423331,2019,Portugal
441,Asia,homeres,10.226905150414522,2019,Qatar
442,Europe,homeres,10.301724571178696,2019,Russian Federation
443,Asia,homeres,9.393734588777226,2019,Saudi Arabia
444,Europe,homeres,10.019243658760475,2019,Serbia
445,Asia,homeres,11.021298592002427,2019,Singapore
446,Europe,homeres,10.238520898910139,2019,Slovak Republic
447,Other,homeres,8.476600891016874,2019,South Other
448,Europe,homeres,10.404066183803076,2019,Spain
449,Europe,homeres,11.221333815249228,2019,Sweden
450,Asia,homeres,10.355456112971304,2019,United Arab Emirates
451,Asia,homeres,8.72985664445983,2019,Turkey
452,Europe,homeres,9.298513293483445,2019,North Macedonia
453,Other,homeres,,2019,United States
454,Europe,homeres,,2019,England
455,Europe,homeres,10.737845609668524,2019,Belgium
456,Europe,math,494.0174865722656,2019,Albania
457,Europe,math,515.4545288085938,2019,Azerbaijan
458,Other,math,515.880126953125,2019,Australia
459,Europe,math,539.2192993164062,2019,Austria
460,Asia,math,479.8526611328125,2019,Bahrain
461,Europe,math,498.1854248046875,2019,Armenia
462,Europe,math,451.68206787109375,2019,Bosnia and Herzegovina
463,Europe,math,515.0187377929688,2019,Bulgaria
464,Other,math,511.5641784667969,2019,Canada
465,Other,math,440.9723815917969,2019,Chile
466,Asia,math,599.2395629882812,2019,Chinese Taipei
467,Europe,math,509.4981994628906,2019,Croatia
468,Europe,math,532.0938720703125,2019,Cyprus
469,Europe,math,532.97509765625,2019,Czech Republic
470,Europe,math,524.54150390625,2019,Denmark
471,Europe,math,532.070556640625,2019,Finland
472,Europe,math,484.8107604980469,2019,France
473,Europe,math,481.8190002441406,2019,Georgia
474,Europe,math,520.9806518554688,2019,Germany
475,Asia,math,601.6223754882812,2019,Hong Kong
476,Europe,math,523.4308471679688,2019,Hungary
477,Asia,math,443.0350036621094,2019,Iran
478,Europe,math,548.4653930664062,2019,Ireland
479,Europe,math,514.9230346679688,2019,Italy
480,Asia,math,592.9568481445312,2019,Japan
481,Asia,math,512.0887451171875,2019,Kazakhstan
482,Asia,math,599.6079711914062,2019,Korea
483,Europe,math,444.3536682128906,2019,Kosovo
484,Asia,math,383.31787109375,2019,Kuwait
485,Europe,math,546.1332397460938,2019,Latvia
486,Europe,math,542.1312866210938,2019,Lithuania
487,Europe,math,509.12530517578125,2019,Malta
488,Europe,math,452.7799987792969,2019,Montenegro
489,Other,math,383.38800048828125,2019,Morocco
490,Asia,math,430.8736267089844,2019,Oman
491,Europe,math,537.5092163085938,2019,Netherlands
492,Other,math,487.19183349609375,2019,New Zealand
493,Europe,math,542.6693725585938,2019,Norway
494,Asia,math,327.6905517578125,2019,Pakistan
495,Asia,math,296.6751403808594,2019,Philippines
496,Europe,math,520.1396484375,2019,Poland
497,Europe,math,525.0914916992188,2019,Portugal
498,Asia,math,449.4120178222656,2019,Qatar
499,Europe,math,566.947021484375,2019,Russian Federation
500,Asia,math,398.0931091308594,2019,Saudi Arabia
501,Europe,math,507.8810729980469,2019,Serbia
502,Asia,math,625.4286499023438,2019,Singapore
503,Europe,math,509.84088134765625,2019,Slovak Republic
504,Other,math,373.5644836425781,2019,South Other
505,Europe,math,502.47161865234375,2019,Spain
506,Europe,math,521.2293090820312,2019,Sweden
507,Asia,math,481.3867492675781,2019,United Arab Emirates
508,Asia,math,522.8562622070312,2019,Turkey
509,Europe,math,471.7200622558594,2019,North Macedonia
510,Other,math,534.732421875,2019,United States
511,Europe,math,555.843017578125,2019,England
512,Europe,math,532.44287109375,2019,Belgium
513,Europe,science,489.4802551269531,2019,Albania
514,Europe,science,426.7347412109375,2019,Azerbaijan
515,Other,science,532.574951171875,2019,Australia
516,Europe,science,522.0604858398438,2019,Austria
517,Asia,science,492.54248046875,2019,Bahrain
518,Europe,science,466.4317321777344,2019,Armenia
519,Europe,science,458.5942077636719,2019,Bosnia and Herzegovina
520,Europe,science,521.3024291992188,2019,Bulgaria
521,Other,science,523.03271484375,2019,Canada
522,Other,science,469.11578369140625,2019,Chile
523,Asia,science,558.0504150390625,2019,Chinese Taipei
524,Europe,science,523.8643798828125,2019,Croatia
525,Europe,science,511.4191589355469,2019,Cyprus
526,Europe,science,533.7195434570312,2019,Czech Republic
527,Europe,science,522.1626586914062,2019,Denmark
528,Europe,science,554.5612182617188,2019,Finland
529,Europe,science,487.72802734375,2019,France
530,Europe,science,454.21337890625,2019,Georgia
531,Europe,science,518.3460083007812,2019,Germany
532,Asia,science,531.2499389648438,2019,Hong Kong
533,Europe,science,529.4384155273438,2019,Hungary
534,Asia,science,440.8280334472656,2019,Iran
535,Europe,science,527.9703979492188,2019,Ireland
536,Europe,science,509.7282409667969,2019,Italy
537,Asia,science,561.6589965820312,2019,Japan
